,credit,defaultTitle,defaultabstract
20,E.U. Copernicus Marine Service Information,ARCTIC OCEAN ALONG-TRACK L3 SEA SURFACE HEIGHTS NRT,"""<span><p><b>Short description:</b> </p><p>Altimeter satellite along-track sea surface heights anomalies (SLA) computed with respect to a twenty-year <a href=\""1993,\"">2012</a> mean. All the missions are homogenized with respect to a reference mission (see QUID document or <a href=\""http://duacs.cls.fr\"">http://duacs.cls.fr</a> <a href=\""http://duacs.cls.fr\"">http://duacs.cls.fr</a> pages for processing details). The product gives additional variables (e.g. Absolute Dynamic Topography) that can be used to change the physical content for specific needs\nThis product is processed by the DUACS multimission altimeter data processing system. It serves in near-real time the main operational oceanography and climate forecasting centers in Europe and worldwide. It processes data from all altimeter missions: Jason-3, Sentinel-3A, HY-2A, Saral/AltiKa, Cryosat-2, Jason-2, Jason-1, T/P, ENVISAT, GFO, ERS1/2. It provides a consistent and homogeneous catalogue of products for varied applications, both for near real time applications and offline studies. \nTo produce maps of SLA (Sea Level Anomalies) in near-real time, the system exploits the most recent datasets available based on the enhanced OGDR+IGDR production. The system acquires and then synchronizes altimeter data and auxiliary data; each mission is homogenized using the same models and corrections. The Input Data Quality Control checks that the system uses the best altimeter data. The multi-mission cross-calibration process removes any residual orbit error, or long wavelength error (LWE), as well as large scale biases and discrepancies between various data flows; all altimeter fields are interpolated at crossover locations and dates. After a repeat-track analysis, a mean profile, which is peculiar to each mission, or a Mean Sea Surface (MSS) (when the orbit is non repetitive) is subtracted to compute sea level anomaly. The MSS is available via the Aviso+ dissemination (<a href=\""http://www.aviso.altimetry.fr/en/data/products/auxiliary-products/mss.html\"">http://www.aviso.altimetry.fr/en/data/products/auxiliary-products/mss.html</a> <a href=\""http://www.aviso.altimetry.fr/en/data/products/auxiliary-products/mss.html\"">http://www.aviso.altimetry.fr/en/data/products/auxiliary-products/mss.html</a>). Data are then cross validated, filtered from residual noise and small scale signals, and finally sub-sampled (sla_filtered variable).  The ADT (Absolute Dynamic Topography, adt_filtered variable) is then computed as follows: adt_filtered=sla_filtered+MDT where MDT is the Mean Dynamic Topography distributed by Aviso+ (<a href=\""http://www.aviso.altimetry.fr/en/data/products/auxiliary-products/mdt.html\"">http://www.aviso.altimetry.fr/en/data/products/auxiliary-products/mdt.html</a> <a href=\""http://www.aviso.altimetry.fr/en/data/products/auxiliary-products/mdt.html\"">http://www.aviso.altimetry.fr/en/data/products/auxiliary-products/mdt.html</a>).  </p><p><b>Associated products</b></p><p>A time invariant product <a href=\""http://marine.copernicus.eu/services-portfolio/access-to-products/?option=com_csw&amp;view=details&amp;product_id=SEALEVEL_GLO_NOISE_L4_NRT_OBSERVATIONS_008_032\"">http://marine.copernicus.eu/services-portfolio/access-to-products/?option=com_csw&amp;view=details&amp;product_id=SEALEVEL_GLO_NOISE_L4_NRT_OBSERVATIONS_008_032</a> <a href=\""http://marine.copernicus.eu/services-portfolio/access-to-products/?option=com_csw&amp;view=details&amp;product_id=SEALEVEL_GLO_NOISE_L4_NRT_OBSERVATIONS_008_032\"">http://marine.copernicus.eu/services-portfolio/access-to-products/?option=com_csw&amp;view=details&amp;product_id=SEALEVEL_GLO_NOISE_L4_NRT_OBSERVATIONS_008_032</a> describing the noise level of along-track measurements is available. It is associated to the sla_filtered variable. It is a gridded product. One file is provided for the global ocean and those values must be applied for Arctic and Europe products. For Mediterranean and Black seas, one value is given in the QUID document</p></span>"""
21,E.U. Copernicus Marine Service Information,"Global Ocean NRRS, BBP, CDM, KD, ZSD, SPM (Copernicus-GlobColour)  from Satellite Observations: Daily (Reprocessed from 1997)","""<span><p><i>'Short description: '</i></p><p>For the <b>Global Ocean</b> Satellite <b>Observations</b>, ACRI-ST company (Sophia Antipolis, France) is providing - at 4km - products based on the <b>Copernicus-GlobColour</b> processor.</p><p>Different temporal resolutions are available: Daily, 8-days, Monthly.  Sensors used are SeaWiFS, MODIS-Aqua, MERIS, VIIRSN and OLCI-S3A. Global products are available at 4km of resolution. </p><p>The following <i>' \""\""Optics\""\"" '</i> parameters are disseminated:</p><ul><li>RRSxxx : the fully normalised remote sensing reflectances at xxx nm. For product based on merged sensors, the list of spectral values is: 412, 443, 490, 555 and 670 nm. For OLCI single sensor, the spectral values are 400, 412.5, 442.5, 490, 510, 560, 620, 665, 673.75, 681.25, 708.75</li><li>CDM443: the coloured dissolved and detrital organic materials absorption coefficient at 443nm.</li><li>BBP443: the particulate back-scattering coefficient at 443nm.</li><li>KD490 is the diffuse attenuation coefficient at 490nm.</li><li>ZSD: the Secchi disk depth estimate.</li><li>SPM: the Inorganic Suspended Particulate Matter (non Algal). </li></ul><p>The products can be downloaded from the CMEMS catalogue using different protocol (ftp, wms...):</p><ul><li><b>NEAR REAL TIME (DAILY UPDATED)  BASED ON SINGLE SENSOR (OLCI-S3A) AND MERGED SENSORS (MODIS-A &amp; VIIRS-N):</b><ul><li>Global Level-3 Optic Daily: <a href=\""http://marine.copernicus.eu/web/69-interactive-catalogue.php?option=com_csw&amp;view=details&amp;product_id=OCEANCOLOUR_GLO_OPTICS_L3_NRT_OBSERVATIONS_009_030\"">OCEANCOLOUR_GLO_OPTICS_L3_NRT_OBSERVATIONS_009_030</a></li><li>Global level-4 Optic Monthly and 8-days: <a href=\""http://marine.copernicus.eu/web/69-interactive-catalogue.php?option=com_csw&amp;view=details&amp;product_id=OCEANCOLOUR_GLO_OPTICS_L4_NRT_OBSERVATIONS_009_083\"">OCEANCOLOUR_GLO_OPTICS_L4_NRT_OBSERVATIONS_009_083</a></li></ul></li><li><b>REPROCESSED TIME-SERIES MERGED PRODUCTS BASED ON on SeaWifs, MERIS, MODIS-A &amp; VIIRS-N:</b><ul><li>Global level-3 Optic Daily: <a href=\""http://marine.copernicus.eu/web/69-interactive-catalogue.php?option=com_csw&amp;view=details&amp;product_id=OCEANCOLOUR_GLO_OPTICS_L3_REP_OBSERVATIONS_009_086\"">OCEANCOLOUR_GLO_OPTICS_L3_REP_OBSERVATIONS_009_086</a></li><li>Global level-4 Optic Monthly and 8-days: <a href=\""http://marine.copernicus.eu/web/69-interactive-catalogue.php?option=com_csw&amp;view=details&amp;product_id=OCEANCOLOUR_GLO_OPTICS_L4_REP_OBSERVATIONS_009_081\"">OCEANCOLOUR_GLO_OPTICS_L4_REP_OBSERVATIONS_009_081</a></li></ul></li><li><b>ACRI-ST ALSO PROVIDES COMPLEMENTARY SATELLITE PRODUCTS REFERENCED AS</b> <a href=\""http://marine.copernicus.eu/web/69-interactive-catalogue.php?option=com_csw&amp;view=details&amp;product_id=OCEANCOLOUR_GLO_CHL_L3_NRT_OBSERVATIONS_009_032\"">”CHLOROPHYLL PRODUCTS”</a>.</li></ul><p><b>Detailed description:</b></p><p>The ACRI-ST products have been initiated in the frame of <a href=\""http://hermes.acri.fr/index.php?class=aknowledgement\"">the GlobColour project</a> funded by the ESA Data User Element Programme to develop a satellite based ocean colour data service to support global carbon-cycle research. This initiative has been consolidated by ACRI-ST in the frame of the OSS2015 project FP7 R&amp;D project and is still ongoing. </p><p>The Optic Products are based on the following methods:</p><ul><li>The CHL, BBP443, CDM443 products are obtained by the merging of MERIS, MODIS/AQUA VIIRS and SeaWiFS data using an advanced retrieval based on fitting an in-water bio-optical model to the merged set of observed normalised water-leaving radiances. This technique is termed GSM because it originates from the Garver-Siegel-Maritorena Model bio-optical model. The Chlorophyll products is delivered with a pixelwise error estimation parameters (output of the GSM model or sensor characterisation) and flag information.</li><li>The KD490 and ZSD products are derived from the CHL product. For OLCI the KD490 product is based on <a href=\""https://earth.esa.int/web/sentinel/technical-guides/sentinel-3-olci/level-2/transparency-products\"">the official ESA algorithm</a>.</li><li>The SPM product is obtained using the Gohin algorithm 2015 release .</li></ul><p>A detailed description of the algorithms and cal/val results is given in the QUID (<a href=\""http://marine.copernicus.eu/web/69-interactive-catalogue.php?option=com_csw&amp;view=details&amp;product_id=OCEANCOLOUR_GLO_OPTICS_L3_NRT_OBSERVATIONS_009_030\"">see tab documentation</a>). The Copernicus-GlobColour products have undergone an extensive validation based on a validation protocol derived from the SIMBIOS protocol. The Copernicus-GlobColour project has largely benefited from NASA contributions, including the availability of the MODIS and SeaWiFS products; the in situ data base of radiometric and phytoplankton pigment data, and other oceanographic and atmospheric data: the SeaWiFS Bio-optical Archive and Storage System - SeaBASS (Werdell and Bailey, 2002). Error statistics from the initial sensor characterization are used as an input to the merging methods and propagate through the merging process to provide error estimates on the output merged products. The today validation used the facilities provided by MERMAID project.</p></span>"""
22,"Ifremer, BRGM, IUEM, Université de Bretagne Sud, Université de Caen, Université de Bordeaux I","Navigation des campagnes de Géosciences réalisées en Mer du Nord, Manche et Atlantique","""<span><p>Navigations des campagnes sous forme de fichiers de points de lignes ayant servi à la réalisation de l'inventaire des ressources en Granulats marins en Mer du Nord, Manche et Atlantique. Ce fichier de navigation englobe des campagnes effectuées en Loire-Gironde entre 1973 et 2003, en Bretagne entre 1967 et 2009, en Sud-Gascogne entre 1977 et 2001 et en Manche entre 1969 et 1985.</p></span>"""
23,Ifremer,Abondance de langoustine (Nephrops norvegicus) observée lors des campagnes scientifiques sur la période 2006 – 2010,"""<span><p>L'abondance de langoustine (Nephrops norvegicus) est exprimée en nombre d’individus par km² et observée lors des campagnes halieutiques de l'Ifremer utilisant un engin de pêche ”traînant de fond” : LANGOLF (2006-2009), ORHAGO (2007-2010). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).</p></span>"""
24,Null,Détection de probables nappes d'hydrocarbures / Images SAR,"""<span><p>Localisation de probables nappes d'hydrocarbure. Analyse effectuée à partir de l'image satellite SAR</p></span>"""
25,DCE 2000/60/CE,DCE – Bassin Artois-Picardie - Etat écologique - Etat biologique - Invertébrés benthiques intertidaux,"""<span><p>L’analyse porte sur le suivi des peuplements d'invertébrés benthiques des masses d'eaux côtières et de transition de la frontière Belge à la Baie de Somme et l'évaluation de leur qualité biologique. Les macroinvertébrés benthiques constituent en effet d'excellents intégrateurs et indicateurs de l'état général du milieu et peuvent permettre notamment, grâce à certains organismes sensibles, d'identifier et de quantifier les pressions d'origine anthropique qui s'exercent sur ces masses d'eau. Les paramètres de l'élément de qualité \""invertébrés benthiques\"" permettant de définir l'état biologique sont :</p><ul style=\""list-style: square\""><li>le niveau de diversité et d'abondance des taxa ;</li><li>tous les taxa sensibles aux perturbations.</li></ul><p>Les peuplements de macroinvertébrés benthiques sont suivis dans la zone intertidale. L’évaluation la plus récente de l’état de ces peuplements est présentée dans l’atlas DCE Artois-Picardie. Les états antérieurs sont accessibles dans des archives annuelles</p></span>"""
26,"Atlas BentHal, Ifremer, 2016","Distribution de Colus gracilis (CPERM 4253, AphiaID 138899) en ATLANTIQUE","""<span><p>Distribution du taxon Colus gracilis établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)</p></span>"""
27,Null,MNT LIDAR topographique de haute résolution - Baie de l'Aiguillon,"""<span><p>Données de relief acquises par levé au laser aéroporté. La donnée se présente au format Grid ArcInfo. L'altitude est exprimée en mètre (positif vers le zénith) par rapport au référentiel IGN69.\nCe MNT est issu de données source de type \""last pulse\"" (i.e. sol, bâtiments, sol sous la végétation), acquises en 2004. La méthode d'interpolation employée est le krigeage.</p></span>"""
28,"Producteurs de données : AE RM&C, Conseils, régionaux, Conseils départementaux, communes, utilisateurs et gestionnaires de l’espace littoral, organismes d’Etat, organismes de recherche, associations",Bancarisation des données et création d’un Système d’Information Géographique sur les biocénoses benthiques à l’échelle de la façade méditerranéenne,"""<span><p>La Directive 2000/60/CE du Parlement Européen et du Conseil du 23 octobre 2000 (DCE), établit un cadre pour une politique communautaire dans le domaine de l’eau et la gestion des écosystèmes côtiers.\nParmi les mesures opérationnelles à mettre en oeuvre pour tenir l’objectif d’atteinte d’un bon état écologique et chimique, la DCE prévoit de prendre en compte notamment les paramètres caractérisant la qualité biologique des eaux dont la composition et l’abondance de la faune benthique.\nPar ailleurs, de par ses missions institutionnelles et pour favoriser la mise en place de politiques de gestion territoriale, l’Agence de l’eau Rhône Méditerranée &amp; Corse a financé depuis plusieurs années des études relatives à la connaissance du milieu marin dont certaines portent sur les biocénoses marines à l’échelle de la façade méditerranéenne.\nCompte tenu de la disparité de ces études et des cartographies effectuées, l’ancienneté de certaines, la variabilité thématique, d’échelle, l’éparpillement géographique, l’exploitation des informations s’avère complexe et difficilement localisable.\nJusqu’alors, aucun état récapitulatif n’avait permis d’effectuer une synthèse bibliographique ou cartographique. Aussi, avant d’engager de nouvelles études devant répondre à la connaissance des biocénoses et de suivre leur évolution, il s’est avéré nécessaire d’entreprendre un état des lieux des informations existantes à l’échelle de la façade méditerranéenne.</p></span>"""
29,Null,Dégâts côtiers sur le littoral du Finistère,"""<span><p>Dégâts côtiers sur le littoral du Finistère</p></span>"""
30,Null,353_291101-ZEE_GALICIA,"""<span><p>DTM of northwest cantabric margin, approximately 462,77 m. resolution.</p></span>"""
31,Null,2979_EMEPC_MB_500_Central_Continental_Shelf_Portugal,"""<span><p>500m gridded dataset extracted from Portuguese EMEPC multibeam hydrographic surveys,\nperformed within the scope of the Portuguese Continental Shelf Extension Project (UNCLOS)</p></span>"""
32,Null,353_291104 - PAIS_VASCO,"""<span><p>DTM of  coast of Biscay and Guipuzcoa , approximately 250 m resolution. This DTM includes the whole area from coast line to deepest level (144,058 m)</p></span>"""
33,Null,353_291007-Balear Islands Margin,"""<span><p>Composite DTM of the Baleares Islands margin, (Mediterranean Sea, East Spain).</p></span>"""
34,Null,353_291006-Levante margin,"""<span><p>Composite DTM of the Levante margin, at approximately 100m of resolution .</p></span>"""
35,Null,Zones d'étude des sites-ateliers du Service National d'Observation de la Dynamique du littoral et du trait de côte - SNO DYNALIT,"""<span><p>Zone des sites-ateliers du Service National d'Observation de la Dynamique du littoral et du trait de côte labellisé par le CNRS INSU (Centre National de la Recherche Scientifique Institut National des Sciences de l'Univers) - SNO DYNALIT en France métropolitaine et ultra-marine.\nUn site-atelier peut avoir plusieurs zones d'étude.</p></span>"""
36,E.U. Copernicus Marine Service Information,"['Global Ocean- In-Situ Near-Real-Time Observations', 'Global Ocean- In-Situ Near-Real-Time Observations']","""<span><p>Résumé: </p><p>Pour l'Océan Global - The In Situ Thematic Assembly Center (INS TAC) intègre des données d'observation in situ en quasi temps réel. Ces données sont recueillies auprès des principaux réseaux mondiaux (Argo, GOSUD, OceanSITES, GTS) complétés par des données européennes fournies par les systèmes régionaux EUROGOOS et les fournisseurs de données nationaux assemblés par les composants régionaux In Situ TAC. Les données passent un contrôle qualité à l'aide de procédures automatisées et évaluées à l'aide de résidus d'analyse statistique. Il est mis à jour en continu et fournit des observations entre 24 et 48 heures à partir de l'acquisition en moyenne. </p><p>Description détaillée: </p><p>Les modèles de circulation océanique ont besoin d'informations sur l'intérieur de l'océan pour pouvoir générer des prévisions précises. Cette information n'est disponible que pour les mesures in situ. Cependant, ces informations sont acquises partout dans le monde et ne sont pas facilement accessibles aux utilisateurs opérationnels. Par conséquent, In Situ Thematic Assembly Center (INS-TAC), en se connectant à beaucoup de réseaux internationaux, collecte, contrôle et diffuse les données in situ pertinentes aux utilisateurs opérationnels et à la communauté de recherche. Il intègre également les données in situ collectées par les composantes régionales de l'INS-TAC. Le portail INS-TAC est mis à jour en permanence avec les observations qui n'ont jamais été diffusées dans la version précédente ou qui ont été mises à jour. Le dernier mois de données est disponible dans le répertoire \""dernier\"", tandis que les données sont ensuite accumulées mois par mois sur le même portail. Informations sur le traitement: Le produit est l'aggrégation homogène des données d'observation provenant de diverses sources in situ, contrôlées par la qualité selon des procédures normalisées qui ont été définies en collaboration avec EUROGOOS, SeaDataNet et des programmes internationaux tels que Argo, GOSUD ou OceanSITES. Les observations en double ont été supprimées. Les données proviennent des plates-formes suivantes:</p><ol><li>Données de profil des flotteurs de profils Argo, y compris Euro-Argo, CTD et XBT provenant de navires de recherche ou de navires d'opportunité, amarrage d'OceanSITES, y compris EuroSites et systèmes nationaux, profils de Gliders, y compris EGO, de mammifères marins ainsi que données de profil de GTS (Global Système de télécommunication au format BUOY, BATHY et TESAC). MEDS / DFO (Canada) fournit un accès intégré aux données circulant sur le GTS et Meteo-France un point d'accès unique au GTS,</li><li>des données de thermosalinographes européens de bateaux Ferrybox et des bouées dérivantes directement soumises ou à travers le GTS avec la contribution de MEDS / DFO (Canada).</li><li>séries temporelles à partir de stations fixes principalement dans les mers européennes</li><li>niveau de la mer d'EUROGOOS ROOS. Le niveau de référence des mesures est l'immersion (en mètres) ou la pression (en décibars). Les données sont disponibles dans le même format sur un portail unique développé conjointement avec EurOGOOS pour les mers d'Europe.</li></ol><p>Qualité / précision / informations d'étalonnage:</p><p>Sur chaque profil ou en cours, des tests automatiques individuels (détection de pointe, ...) et des tests statistiques (comparaison avec la climatologie et les mesures voisines) sont effectués. Sur les données douteuses, le contrôle visuel effectué par les experts de l'océan est effectué. À la suite de ces tests, des indicateurs de contrôle qualité sont affectés à chaque mesure et inclus dans le produit. Le format de données et les procédures de contrôle qualité pour la température, la salinité, le niveau actuel, le niveau de la mer, les vagues et certains paramètres biogéochimiques sont documentés dans la documentation CMEMS INS-TAC</p><p>Adéquation, type d'utilisateurs requis / utilisations:</p><p>Le produit est conçu pour l'assimilation dans les modèles opérationnels exploités par les centres Océanographique ou pour les scientifiques intéressés par des produits en temps quasi réel. Ces utilisateurs ont besoin de données agrégées et de qualité contrôlée de manière fiable et documentée. Étant donné que les différentes versions du produit ne sont pas archivées par INS TAC, les utilisateurs doivent gérer leur propre archive de données in situ si elles en ont besoin. Seule la meilleure copie des données est archivée au INS TAC.</p></span>"""
37,"[""Université du Littoral Côte d'Opale"", 'CHARM consortium']","Species and habitats - Limanda limanda (Common Dab) - Larvae Stage 2 - Preferential habitat in April/May modelled by Generalised Linear Modelling and its uncertainty for Reise1, Reise2 and BCD surveys","""<span><p>Modelised abundance of larval stages of several species or prediction uncertainty.</p></span>"""
38,"[""Université du Littoral Côte d'Opale"", 'CHARM consortium']","Species and habitats - Trisopterus luscus - Larvae Stage 3 - Preferential habitat in April/May modelled by Generalised Linear Modelling and its uncertainty for Reise1, Reise2 and BCD surveys","""<span><p>Modelised abundance of larval stages of several species or prediction uncertainty.</p></span>"""
39,CEREMA,Occupation du sol - Corine Land Cover,"""<span><p>CORINE Land Cover est une base de données d’occupation des sols. Ce projet est piloté par l'Agence Européenne pour l'Environnement. En France, cette base couvre le territoire métropolitain. Le SOeS est chargé d'en assurer la production, la maintenance et la diffusion. Cet inventaire biophysique de l'occupation des terres fournit, selon une nomenclature en 44 postes, une information géographique de référence pour 38 pays.\nL'utilisation de cette base de données permet des applications variées adaptées aux problématiques de l'environnement et à celles de l'aménagement du territoire : production cartographique, exploitation à des fins statistiques ou bien encore analyses géographiques en combinaison avec d'autres bases de données. Outil de connaissance et d'analyse, CORINE Land Cover apporte également une aide à la décision comme instrument de suivi, de surveillance et de gestion de l'environnement, des milieux naturels et plus généralement de l'aménagement de l'espace.</p></span>"""
40,"Agence des aires marines protégées, Bretagne Vivante",Suivis-Production des oiseaux marins nicheurs 2014-Sterne pierregarin,"""<span><p>L'objectif est de suivre l'évolution du succès de reproduction et l'évolution des effectifs sur les colonies d'oiseaux marins.</p></span>"""
41,Producteurs de données : IUEM-OSU,Suivi Pierre Noire,"""<span><p>La station de Pierre Noire (sables fins envasés) est suivie depuis 1977, à raison de 5 prélèvements par an. La station Rivière de Morlaix est suivie en parallèle (voir fiche dédiée). Ce suivi a en autre permis d’évaluer les conséquences de la marée noire de l’Amoco Cadiz (1978) et de suivre la recolonisation de la macrofaune benthique.</p></span>"""
42,Null,krigeage des macrophytes de l'étang de Salses-Leucate,"""<span><p>Traitement des résultats suite aux observations in-situ des macrophytes acquises dans le cadre du Réseau du Suivi Lagunaire: lagune de Leucate, campagne 2009</p><p>Distribution spatiale de :\nrecouvrement total (%)\nespèces de référence (%)\nphanérogame (%)\nUlva sp. (%)</p></span>"""
43,"['DPMA', 'Terra Maris', 'Ifremer']",Arrêté n°232 du 25/09/2003,"""<span><p>Arrêté n°232 du 25/09/2003 portant classement administratif du gisement de coquilles Saint-Jacques du Guilvinec (département du Finistère)</p></span>"""
